###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
HcI_B35_4432.jpg		no	0:00	0:05	0.000	5.000	5.000	Ftan			16.4.77 (Sa) 8:00		
HeQ_B35_4401.jpg		no	0:05	0:10	5.000	10.000	5.000	Ftan			16.4.77 (Sa) 8:01		
HgY_B35_4402.jpg		no	0:10	0:15	10.000	15.000	5.000	Ftan			16.4.77 (Sa) 8:02		
HjG_B35_4403.jpg		no	0:15	0:20	15.000	20.000	5.000	Ftan			16.4.77 (Sa) 8:03		
HlO_Unbek_9150.jpg		no	0:20	0:25	20.000	25.000	5.000	Ftan			16.4.77 (Sa) 8:04		
HqE_B35_4405.jpg		no	0:25	0:30	25.000	30.000	5.000	Ftan			16.4.77 (Sa) 8:06		
HsM_Unbek_9351.jpg		no	0:30	0:35	30.000	35.000	5.000	Ftan			16.4.77 (Sa) 8:07		
IbS_Unbek_9128.jpg		no	0:35	0:40	35.000	40.000	5.000	Ftan			16.4.77 (Sa) 8:11		
IeA_B35_4437.jpg		no	0:40	0:45	40.000	45.000	5.000	Ftan			16.4.77 (Sa) 8:12		
IgI_B35_4436.jpg		no	0:45	0:50	45.000	50.000	5.000	Ftan			16.4.77 (Sa) 8:13		
IiQ_B35_4407.jpg		no	0:50	0:55	50.000	55.000	5.000	Ftan			16.4.77 (Sa) 8:14		
IkY_B35_4435.jpg		no	0:55	1:00	55.000	60.000	5.000	Ftan			16.4.77 (Sa) 8:15		
JkI_Unbek_9108.jpg		no	1:00	1:05	60.000	65.000	5.000	Ftan			16.4.77 (Sa) 8:26		
JvW_B35_4408.jpg		no	1:05	1:10	65.000	70.000	5.000	Ftan			16.4.77 (Sa) 8:31		
KhK_Unbek_9122.jpg		no	1:10	1:15	70.000	75.000	5.000	Ftan			16.4.77 (Sa) 8:36		
KmA_Unbek_9182.jpg		no	1:15	1:20	75.000	80.000	5.000	Ftan			16.4.77 (Sa) 8:38		
KoI_Unbek_9188.jpg		no	1:20	1:25	80.000	85.000	5.000	Ftan			16.4.77 (Sa) 8:39		
KxO_Unbek_9142.jpg		no	1:25	1:30	85.000	90.000	5.000	Ftan			16.4.77 (Sa) 8:43		
KzW_Unbek_9143.jpg		no	1:30	1:35	90.000	95.000	5.000	Ftan			16.4.77 (Sa) 8:44		
LgU_Unbek_9146.jpg		no	1:35	1:40	95.000	100.000	5.000	Ftan			16.4.77 (Sa) 8:47		
LnS_Unbek_9149.jpg		no	1:40	1:45	100.000	105.000	5.000	Ftan			16.4.77 (Sa) 8:50		
LsI_Unbek_9152.jpg		no	1:45	1:50	105.000	110.000	5.000	Ftan			16.4.77 (Sa) 8:52		
LuQ_Unbek_9153.jpg		no	1:50	1:55	110.000	115.000	5.000	Ftan			16.4.77 (Sa) 8:53		
LwY_Unbek_9154.jpg		no	1:55	2:00	115.000	120.000	5.000	Ftan			16.4.77 (Sa) 8:54		
MdW_B35_4411.jpg		no	2:00	2:05	120.000	125.000	5.000	Ftan			16.4.77 (Sa) 8:57		
MiM_B35_4413.jpg		no	2:05	2:10	125.000	130.000	5.000	Ftan			16.4.77 (Sa) 8:59		
MnC_B35_4415.jpg		no	2:10	2:15	130.000	135.000	5.000	Ftan			16.4.77 (Sa) 9:01		
MpK_B35_4416.jpg		no	2:15	2:20	135.000	140.000	5.000	Ftan			16.4.77 (Sa) 9:02		
MrS_B35_4417.jpg		no	2:20	2:25	140.000	145.000	5.000	Ftan			16.4.77 (Sa) 9:03		
NaY_B35_4421.jpg		no	2:25	2:30	145.000	150.000	5.000	Ftan			16.4.77 (Sa) 9:07		
NdG_B35_4422.jpg		no	2:30	2:35	150.000	155.000	5.000	Ftan			16.4.77 (Sa) 9:08		
NfO_B35_4423.jpg		no	2:35	2:40	155.000	160.000	5.000	Ftan			16.4.77 (Sa) 9:09		
NkE_B35_4425.jpg		no	2:40	2:45	160.000	165.000	5.000	Ftan			16.4.77 (Sa) 9:11		
NmM_B35_4426.jpg		no	2:45	2:50	165.000	170.000	5.000	Ftan			16.4.77 (Sa) 9:12		
NoU_B35_4427.jpg		no	2:50	2:55	170.000	175.000	5.000	Ftan			16.4.77 (Sa) 9:13		
NrC_B35_4428.jpg		no	2:55	3:00	175.000	180.000	5.000	Ftan			16.4.77 (Sa) 9:14		
NvS_B35_4430.jpg		no	3:00	3:05	180.000	185.000	5.000	Ftan			16.4.77 (Sa) 9:16		
NyA_Unbek_9158.jpg		no	3:05	3:10	185.000	190.000	5.000	Ftan			16.4.77 (Sa) 9:17		
OaI_Unbek_9159.jpg		no	3:10	3:15	190.000	195.000	5.000	Ftan			16.4.77 (Sa) 9:18		
OcQ_Unbek_9161.jpg		no	3:15	3:20	195.000	200.000	5.000	Ftan			16.4.77 (Sa) 9:19		
OhG_Unbek_9115.jpg		no	3:20	3:25	200.000	205.000	5.000	Ftan			16.4.77 (Sa) 9:21		
OlW_Unbek_9126.jpg		no	3:25	3:30	205.000	210.000	5.000	Ftan			16.4.77 (Sa) 9:23		
OoE_Unbek_9127.jpg		no	3:30	3:35	210.000	215.000	5.000	Ftan			16.4.77 (Sa) 9:24		
OxK_Unbek_9133.jpg		no	3:35	3:40	215.000	220.000	5.000	Ftan			16.4.77 (Sa) 9:28		
PgQ_B35_4431.jpg		no	3:40	3:45	220.000	225.000	5.000	Ftan			16.4.77 (Sa) 9:32		
