###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
IMG_0277.jpg		no	0:00	0:05	0.000	5.000	5.000	Rom Tagebuch Scherry	Rom	Vatikanstadt	7.4.77 (Do) 8:00		
IMG_0278.jpg		no	0:05	0:10	5.000	10.000	5.000	Rom Tagebuch Scherry	Rom	Trevi	7.4.77 (Do) 9:00		
IMG_0279.jpg		no	0:10	0:15	10.000	15.000	5.000	Rom Tagebuch Scherry	Rom	Trevi	7.4.77 (Do) 10:00		
IMG_0280.jpg		no	0:15	0:20	15.000	20.000	5.000	Rom Tagebuch Scherry	Rom	Trevi	7.4.77 (Do) 11:00		
IMG_0281.jpg		no	0:20	0:25	20.000	25.000	5.000	Rom Tagebuch Scherry	Rom	Trevi	7.4.77 (Do) 12:00		
IMG_0282.jpg		no	0:25	0:30	25.000	30.000	5.000	Rom Tagebuch Scherry	Rom	Trevi	7.4.77 (Do) 13:00		
IMG_0283.jpg		no	0:30	0:35	30.000	35.000	5.000	Rom Tagebuch Scherry	Rom	Trevi	8.4.77 (Fr) 8:00		
IMG_0284.jpg		no	0:35	0:40	35.000	40.000	5.000	Rom Tagebuch Scherry	Rom	Sant' Eustachio	8.4.77 (Fr) 9:00		
IMG_0285.jpg		no	0:40	0:45	40.000	45.000	5.000	Rom Tagebuch Scherry	Rom	Trevi	8.4.77 (Fr) 10:00		
IMG_0286.jpg		no	0:45	0:50	45.000	50.000	5.000	Rom Tagebuch Scherry	Rom	Campitelli	8.4.77 (Fr) 11:00		
IMG_0287.jpg		no	0:50	0:55	50.000	55.000	5.000	Rom Tagebuch Scherry	Rom	Trevi	8.4.77 (Fr) 12:00		
IMG_0288.jpg		no	0:55	1:00	55.000	60.000	5.000	Rom Tagebuch Scherry	Rom	Testaccio	8.4.77 (Fr) 13:00		
IMG_0289.jpg		no	1:00	1:05	60.000	65.000	5.000	Rom Tagebuch Scherry	Rom	Trevi	8.4.77 (Fr) 14:00		
IMG_0290.jpg		no	1:05	1:10	65.000	70.000	5.000	Rom Tagebuch Scherry	Rom	Vatikanstadt	8.4.77 (Fr) 15:00		
IMG_0291.jpg		no	1:10	1:15	70.000	75.000	5.000	Rom Tagebuch Scherry	Rom	Sant' Eustachio	8.4.77 (Fr) 16:00		
IMG_0292.jpg		no	1:15	1:20	75.000	80.000	5.000	Rom Tagebuch Scherry	Rom	Trevi	8.4.77 (Fr) 17:00		
IMG_0293.jpg		no	1:20	1:25	80.000	85.000	5.000	Rom Tagebuch Scherry	Rom	Trevi	9.4.77 (Sa) 8:00		
IMG_0294.jpg		no	1:25	1:30	85.000	90.000	5.000	Rom Tagebuch Scherry	Rom	Trevi	9.4.77 (Sa) 9:00		
IMG_0295.jpg		no	1:30	1:35	90.000	95.000	5.000	Rom Tagebuch Scherry	Rom	Trevi	9.4.77 (Sa) 10:00		
IMG_0296.jpg		no	1:35	1:40	95.000	100.000	5.000	Rom Tagebuch Scherry	Rom	Trevi	9.4.77 (Sa) 11:00		
IMG_0297.jpg		no	1:40	1:45	100.000	105.000	5.000	Rom Tagebuch Scherry	Rom	Capannelle	9.4.77 (Sa) 12:00		
IMG_0298.jpg		no	1:45	1:50	105.000	110.000	5.000	Rom Tagebuch Scherry	Rom	Trevi	9.4.77 (Sa) 13:00		
IMG_0299.jpg		no	1:50	1:55	110.000	115.000	5.000	Rom Tagebuch Scherry	Rom	Sant' Eustachio	10.4.77 (So) 8:00		
IMG_0300.jpg		no	1:55	2:00	115.000	120.000	5.000	Rom Tagebuch Scherry	Rom	Trevi	10.4.77 (So) 9:00		
