###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
CoVbS_A1_7300.jpg		no	0:00	0:05	0.000	5.000	5.000	Jugoslawien	Sarajevo		20.4.86 (So) 8:00		
CoVbS_A1_7301.jpg		no	0:05	0:10	5.000	10.000	5.000	Jugoslawien	Mostar		20.4.86 (So) 8:01		
CoVbS_A1_7302.jpg		no	0:10	0:15	10.000	15.000	5.000	Jugoslawien	Maribor		20.4.86 (So) 8:02		
CoVbS_A1_7303.jpg		no	0:15	0:20	15.000	20.000	5.000	Jugoslawien	Zadar		20.4.86 (So) 8:03		
CoVbS_A1_7304.jpg		no	0:20	0:25	20.000	25.000	5.000	Jugoslawien	Banja Luka		20.4.86 (So) 8:04		
CySaM_A1_7305.jpg		no	0:25	0:30	25.000	30.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 8:15		
CyTjC_A1_7306.jpg		no	0:30	0:35	30.000	35.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 8:30		
CyUrS_A1_7307.jpg		no	0:35	0:40	35.000	40.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 8:45		
CyWaI_A1_7308.jpg		no	0:40	0:45	40.000	45.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 9:00		
CyXiY_A1_7309.jpg		no	0:45	0:50	45.000	50.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 9:15		
CyYrO_A1_7310.jpg		no	0:50	0:55	50.000	55.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 9:30		
CzAaE_A1_7311.jpg		no	0:55	1:00	55.000	60.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 9:45		
CzBiU_A1_7312.jpg		no	1:00	1:05	60.000	65.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 10:00		
CzCrK_A1_7313.jpg		no	1:05	1:10	65.000	70.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 10:15		
CzEaA_A1_7314.jpg		no	1:10	1:15	70.000	75.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 10:30		
CzFiQ_A1_7315.jpg		no	1:15	1:20	75.000	80.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 10:45		
CzGrG_A1_7316.jpg		no	1:20	1:25	80.000	85.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 11:00		
CzHzW_A1_7317.jpg		no	1:25	1:30	85.000	90.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 11:15		
CzJiM_A1_7318.jpg		no	1:30	1:35	90.000	95.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 11:30		
CzKrC_A1_7319.jpg		no	1:35	1:40	95.000	100.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 11:45		
CzLzS_A1_7320.jpg		no	1:40	1:45	100.000	105.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 12:00		
CzNiI_A1_7321.jpg		no	1:45	1:50	105.000	110.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 12:15		
CzOqY_A1_7322.jpg		no	1:50	1:55	110.000	115.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 12:30		
CzPzO_A1_7323.jpg		no	1:55	2:00	115.000	120.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 12:45		
CzRiE_A1_7324.jpg		no	2:00	2:05	120.000	125.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 13:00		
CzSqU_A1_7325.jpg		no	2:05	2:10	125.000	130.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 13:15		
CzTzK_A1_7326.jpg		no	2:10	2:15	130.000	135.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 13:30		
CzViA_A1_7327.jpg		no	2:15	2:20	135.000	140.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 13:45		
CzWqQ_A1_7328.jpg		no	2:20	2:25	140.000	145.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 14:00		
CzXzG_A1_7329.jpg		no	2:25	2:30	145.000	150.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 14:15		
CzZhW_A1_7330.jpg		no	2:30	2:35	150.000	155.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 14:30		
DaAqM_A1_7331.jpg		no	2:35	2:40	155.000	160.000	5.000	Jugoslawien	Maribor		22.4.86 (Di) 14:45		
DiMiA_A1_7332.jpg		no	2:40	2:45	160.000	165.000	5.000	Jugoslawien	Zagreb		24.4.86 (Do) 8:00		
DiNqQ_A1_7333.jpg		no	2:45	2:50	165.000	170.000	5.000	Jugoslawien	Zagreb		24.4.86 (Do) 8:15		
DiOzG_A1_7334.jpg		no	2:50	2:55	170.000	175.000	5.000	Jugoslawien	Zagreb		24.4.86 (Do) 8:30		
DiQhW_A1_7335.jpg		no	2:55	3:00	175.000	180.000	5.000	Jugoslawien	Zagreb		24.4.86 (Do) 8:45		
DiRqM_A1_7336.jpg		no	3:00	3:05	180.000	185.000	5.000	Jugoslawien	Zagreb		24.4.86 (Do) 9:00		
DiSzC_A1_7337.jpg		no	3:05	3:10	185.000	190.000	5.000	Jugoslawien	Zagreb		24.4.86 (Do) 9:15		
DiUhS_A1_7338.jpg		no	3:10	3:15	190.000	195.000	5.000	Jugoslawien	Zagreb		24.4.86 (Do) 9:30		
DiVqI_A1_7339.jpg		no	3:15	3:20	195.000	200.000	5.000	Jugoslawien	Zagreb		24.4.86 (Do) 9:45		
DiWyY_A1_7340.jpg		no	3:20	3:25	200.000	205.000	5.000	Jugoslawien	Zagreb		24.4.86 (Do) 10:00		
DiYhO_A1_7341.jpg		no	3:25	3:30	205.000	210.000	5.000	Jugoslawien	Zagreb		24.4.86 (Do) 10:15		
DiZqE_A1_7342.jpg		no	3:30	3:35	210.000	215.000	5.000	Jugoslawien	Zagreb		24.4.86 (Do) 10:30		
DjAyU_A1_7343.jpg		no	3:35	3:40	215.000	220.000	5.000	Jugoslawien	Zagreb		24.4.86 (Do) 10:45		
DjChK_A1_7344.jpg		no	3:40	3:45	220.000	225.000	5.000	Jugoslawien	Zagreb		24.4.86 (Do) 11:00		
DjDqA_A1_7345.jpg		no	3:45	3:50	225.000	230.000	5.000	Jugoslawien	Zagreb		24.4.86 (Do) 11:15		
DjEyQ_A1_7346.jpg		no	3:50	3:55	230.000	235.000	5.000	Jugoslawien	Zagreb		24.4.86 (Do) 11:30		
DjGhG_A1_7347.jpg		no	3:55	4:00	235.000	240.000	5.000	Jugoslawien	Zagreb		24.4.86 (Do) 11:45		
DjHpW_A1_7348.jpg		no	4:00	4:05	240.000	245.000	5.000	Jugoslawien	Zagreb		24.4.86 (Do) 12:00		
DjIyM_A1_7349.jpg		no	4:05	4:10	245.000	250.000	5.000	Jugoslawien	Zagreb		24.4.86 (Do) 12:15		
DjLpS_A1_7350.jpg		no	4:10	4:15	250.000	255.000	5.000	Jugoslawien	Zagreb		24.4.86 (Do) 12:45		
DjMyI_A1_7351.jpg		no	4:15	4:20	255.000	260.000	5.000	Jugoslawien	Zagreb		24.4.86 (Do) 13:00		
DjOgY_A1_7352.jpg		no	4:20	4:25	260.000	265.000	5.000	Jugoslawien	Zagreb		24.4.86 (Do) 13:15		
DsHyE_A1_7353.jpg		no	4:25	4:30	265.000	270.000	5.000	Jugoslawien	Banja Luka		26.4.86 (Sa) 8:00		
DsKpK_A1_7354.jpg		no	4:30	4:35	270.000	275.000	5.000	Jugoslawien	Banja Luka		26.4.86 (Sa) 8:30		
DsNgQ_A1_7355.jpg		no	4:35	4:40	275.000	280.000	5.000	Jugoslawien	Banja Luka		26.4.86 (Sa) 9:00		
DsPxW_A1_7356.jpg		no	4:40	4:45	280.000	285.000	5.000	Jugoslawien	Banja Luka		26.4.86 (Sa) 9:30		
DsSpC_A1_7357.jpg		no	4:45	4:50	285.000	290.000	5.000	Jugoslawien	Banja Luka		26.4.86 (Sa) 10:00		
DsVgI_A1_7358.jpg		no	4:50	4:55	290.000	295.000	5.000	Jugoslawien	Banja Luka		26.4.86 (Sa) 10:30		
DsXxO_A1_7359.jpg		no	4:55	5:00	295.000	300.000	5.000	Jugoslawien	Banja Luka		26.4.86 (Sa) 11:00		
DtAoU_A1_7360.jpg		no	5:00	5:05	300.000	305.000	5.000	Jugoslawien	Banja Luka		26.4.86 (Sa) 11:30		
DtDgA_A1_7361.jpg		no	5:05	5:10	305.000	310.000	5.000	Jugoslawien	Banja Luka		26.4.86 (Sa) 12:00		
DtFxG_A1_7362.jpg		no	5:10	5:15	310.000	315.000	5.000	Jugoslawien	Banja Luka		26.4.86 (Sa) 12:30		
DtIoM_A1_7363.jpg		no	5:15	5:20	315.000	320.000	5.000	Jugoslawien	Banja Luka		26.4.86 (Sa) 13:00		
DtLfS_A1_7364.jpg		no	5:20	5:25	320.000	325.000	5.000	Jugoslawien	Banja Luka		26.4.86 (Sa) 13:30		
DtNwY_A1_7365.jpg		no	5:25	5:30	325.000	330.000	5.000	Jugoslawien	Banja Luka		26.4.86 (Sa) 14:00		
DtQoE_A1_7366.jpg		no	5:30	5:35	330.000	335.000	5.000	Jugoslawien	Banja Luka		26.4.86 (Sa) 14:30		
DtTfK_A1_7367.jpg		no	5:35	5:40	335.000	340.000	5.000	Jugoslawien	Banja Luka		26.4.86 (Sa) 15:00		
DtVwQ_A1_7368.jpg		no	5:40	5:45	340.000	345.000	5.000	Jugoslawien	Banja Luka		26.4.86 (Sa) 15:30		
DtYnW_A1_7369.jpg		no	5:45	5:50	345.000	350.000	5.000	Jugoslawien	Banja Luka		26.4.86 (Sa) 16:00		
DxFtG_A1_7370.jpg		no	5:50	5:55	350.000	355.000	5.000	Jugoslawien	Jaice		27.4.86 (So) 8:00		
DxLbS_A1_7371.jpg		no	5:55	6:00	355.000	360.000	5.000	Jugoslawien	Jaice		27.4.86 (So) 9:00		
DxQkE_A1_7372.jpg		no	6:00	6:05	360.000	365.000	5.000	Jugoslawien	Jaice		27.4.86 (So) 10:00		
DxVsQ_A1_7373.jpg		no	6:05	6:10	365.000	370.000	5.000	Jugoslawien	Jaice		27.4.86 (So) 11:00		
DyBbC_A1_7374.jpg		no	6:10	6:15	370.000	375.000	5.000	Jugoslawien	Jaice		27.4.86 (So) 12:00		
EcDoI_A1_7375.jpg		no	6:15	6:20	375.000	380.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 8:00		
EcEwY_A1_7376.jpg		no	6:20	6:25	380.000	385.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 8:15		
EcGfO_A1_7377.jpg		no	6:25	6:30	385.000	390.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 8:30		
EcHoE_A1_7378.jpg		no	6:30	6:35	390.000	395.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 8:45		
EcIwU_A1_7379.jpg		no	6:35	6:40	395.000	400.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 9:00		
EcKfK_A1_7380.jpg		no	6:40	6:45	400.000	405.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 9:15		
EcLoA_A1_7381.jpg		no	6:45	6:50	405.000	410.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 9:30		
EcMwQ_A1_7382.jpg		no	6:50	6:55	410.000	415.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 9:45		
EcOfG_A1_7383.jpg		no	6:55	7:00	415.000	420.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 10:00		
EcPnW_A1_7384.jpg		no	7:00	7:05	420.000	425.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 10:15		
EcQwM_A1_7385.jpg		no	7:05	7:10	425.000	430.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 10:30		
EcSfC_A1_7386.jpg		no	7:10	7:15	430.000	435.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 10:45		
EcTnS_A1_7387.jpg		no	7:15	7:20	435.000	440.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 11:00		
EcUwI_A1_7388.jpg		no	7:20	7:25	440.000	445.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 11:15		
EcWeY_A1_7389.jpg		no	7:25	7:30	445.000	450.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 11:30		
EcXnO_A1_7390.jpg		no	7:30	7:35	450.000	455.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 11:45		
EcYwE_A1_7391.jpg		no	7:35	7:40	455.000	460.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 12:00		
EdAeU_A1_7392.jpg		no	7:40	7:45	460.000	465.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 12:15		
EdBnK_A1_7393.jpg		no	7:45	7:50	465.000	470.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 12:30		
EdCwA_A1_7394.jpg		no	7:50	7:55	470.000	475.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 12:45		
EdEeQ_A1_7395.jpg		no	7:55	8:00	475.000	480.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 13:00		
EdFnG_A1_7396.jpg		no	8:00	8:05	480.000	485.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 13:15		
EdGvW_A1_7397.jpg		no	8:05	8:10	485.000	490.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 13:30		
EdIeM_A1_7398.jpg		no	8:10	8:15	490.000	495.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 13:45		
EdJnC_A1_7399.jpg		no	8:15	8:20	495.000	500.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 14:00		
EdKvS_A1_7400.jpg		no	8:20	8:25	500.000	505.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 14:15		
EdMeI_A1_7401.jpg		no	8:25	8:30	505.000	510.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 14:30		
EdNmY_A1_7402.jpg		no	8:30	8:35	510.000	515.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 14:45		
EdOvO_A1_7403.jpg		no	8:35	8:40	515.000	520.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 15:00		
EdQeE_A1_7404.jpg		no	8:40	8:45	520.000	525.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 15:15		
EdRmU_A1_7405.jpg		no	8:45	8:50	525.000	530.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 15:30		
EdSvK_A1_7406.jpg		no	8:50	8:55	530.000	535.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 15:45		
EdUeA_A1_7407.jpg		no	8:55	9:00	535.000	540.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 16:00		
EdVmQ_A1_7408.jpg		no	9:00	9:05	540.000	545.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 16:15		
EdWvG_A1_7409.jpg		no	9:05	9:10	545.000	550.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 16:30		
EdYdW_A1_7410.jpg		no	9:10	9:15	550.000	555.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 16:45		
EdZmM_A1_7411.jpg		no	9:15	9:20	555.000	560.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 17:00		
EeAvC_A1_7412.jpg		no	9:20	9:25	560.000	565.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 17:15		
EeCdS_A1_7413.jpg		no	9:25	9:30	565.000	570.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 17:30		
EeDmI_A1_7414.jpg		no	9:30	9:35	570.000	575.000	5.000	Jugoslawien	Sarajevo		28.4.86 (Mo) 17:45		
EvUuQ_A1_7415.jpg		no	9:35	9:40	575.000	580.000	5.000	Jugoslawien	Visegrad		1.5.86 (Do) 8:00		
EwAdC_A1_7416.jpg		no	9:40	9:45	580.000	585.000	5.000	Jugoslawien	Visegrad		1.5.86 (Do) 9:00		
FaSpS_A1_7417.jpg		no	9:45	9:50	585.000	590.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 8:00		
FaTyI_A1_7418.jpg		no	9:50	9:55	590.000	595.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 8:15		
FaVgY_A1_7419.jpg		no	9:55	10:00	595.000	600.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 8:30		
FaWpO_A1_7420.jpg		no	10:00	10:05	600.000	605.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 8:45		
FaXyE_A1_7421.jpg		no	10:05	10:10	605.000	610.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 9:00		
FaZgU_A1_7422.jpg		no	10:10	10:15	610.000	615.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 9:15		
FbApK_A1_7423.jpg		no	10:15	10:20	615.000	620.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 9:30		
FbByA_A1_7424.jpg		no	10:20	10:25	620.000	625.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 9:45		
FbDgQ_A1_7425.jpg		no	10:25	10:30	625.000	630.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 10:00		
FbEpG_A1_7426.jpg		no	10:30	10:35	630.000	635.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 10:15		
FbFxW_A1_7427.jpg		no	10:35	10:40	635.000	640.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 10:30		
FbHgM_A1_7428.jpg		no	10:40	10:45	640.000	645.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 10:45		
FbIpC_A1_7429.jpg		no	10:45	10:50	645.000	650.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 11:00		
FbJxS_A1_7430.jpg		no	10:50	10:55	650.000	655.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 11:15		
FbLgI_A1_7431.jpg		no	10:55	11:00	655.000	660.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 11:30		
FbMoY_A1_7432.jpg		no	11:00	11:05	660.000	665.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 11:45		
FbNxO_A1_7433.jpg		no	11:05	11:10	665.000	670.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 12:00		
FbPgE_A1_7434.jpg		no	11:10	11:15	670.000	675.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 12:15		
FbQoU_A1_7435.jpg		no	11:15	11:20	675.000	680.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 12:30		
FbRxK_A1_7436.jpg		no	11:20	11:25	680.000	685.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 12:45		
FbTgA_A1_7437.jpg		no	11:25	11:30	685.000	690.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 13:00		
FbUoQ_A1_7438.jpg		no	11:30	11:35	690.000	695.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 13:15		
FbVxG_A1_7439.jpg		no	11:35	11:40	695.000	700.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 13:30		
FbXfW_A1_7440.jpg		no	11:40	11:45	700.000	705.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 13:45		
FbYoM_A1_7441.jpg		no	11:45	11:50	705.000	710.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 14:00		
FbZxC_A1_7442.jpg		no	11:50	11:55	710.000	715.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 14:15		
FcBfS_A1_7443.jpg		no	11:55	12:00	715.000	720.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 14:30		
FcCoI_A1_7444.jpg		no	12:00	12:05	720.000	725.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 14:45		
FcDwY_A1_7445.jpg		no	12:05	12:10	725.000	730.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 15:00		
FcFfO_A1_7446.jpg		no	12:10	12:15	730.000	735.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 15:15		
FcHwU_A1_7447.jpg		no	12:15	12:20	735.000	740.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 15:45		
FcJfK_A1_7448.jpg		no	12:20	12:25	740.000	745.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 16:00		
FcKoA_A1_7449.jpg		no	12:25	12:30	745.000	750.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 16:15		
FcLwQ_A1_7450.jpg		no	12:30	12:35	750.000	755.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 16:30		
FcNfG_A1_7451.jpg		no	12:35	12:40	755.000	760.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 16:45		
FcOnW_A1_7452.jpg		no	12:40	12:45	760.000	765.000	5.000	Jugoslawien	Usce	Kloster Studenica	2.5.86 (Fr) 17:00		
FfQkU_A1_7453.jpg		no	12:45	12:50	765.000	770.000	5.000	Jugoslawien	Novi Pazar	Petrova-Kirche	3.5.86 (Sa) 8:00		
FfVtG_A1_7454.jpg		no	12:50	12:55	770.000	775.000	5.000	Jugoslawien	Novi Pazar	Petrova-Kirche	3.5.86 (Sa) 9:00		
FgBbS_A1_7455.jpg		no	12:55	13:00	775.000	780.000	5.000	Jugoslawien	Novi Pazar	Petrova-Kirche	3.5.86 (Sa) 10:00		
FgGkE_A1_7456.jpg		no	13:00	13:05	780.000	785.000	5.000	Jugoslawien	Novi Pazar	Petrova-Kirche	3.5.86 (Sa) 11:00		
FkOfW_A1_7457.jpg		no	13:05	13:10	785.000	790.000	5.000	Jugoslawien	Novi Pazar	Kloster Sopocani	4.5.86 (So) 8:00		
FkPoM_A1_7458.jpg		no	13:10	13:15	790.000	795.000	5.000	Jugoslawien	Novi Pazar	Kloster Sopocani	4.5.86 (So) 8:15		
FkQxC_A1_7459.jpg		no	13:15	13:20	795.000	800.000	5.000	Jugoslawien	Novi Pazar	Kloster Sopocani	4.5.86 (So) 8:30		
FkSfS_A1_7460.jpg		no	13:20	13:25	800.000	805.000	5.000	Jugoslawien	Novi Pazar	Kloster Sopocani	4.5.86 (So) 8:45		
FkToI_A1_7461.jpg		no	13:25	13:30	805.000	810.000	5.000	Jugoslawien	Novi Pazar	Kloster Sopocani	4.5.86 (So) 9:00		
FkUwY_A1_7462.jpg		no	13:30	13:35	810.000	815.000	5.000	Jugoslawien	Novi Pazar	Kloster Sopocani	4.5.86 (So) 9:15		
FkWfO_A1_7463.jpg		no	13:35	13:40	815.000	820.000	5.000	Jugoslawien	Novi Pazar	Kloster Sopocani	4.5.86 (So) 9:30		
FkXoE_A1_7464.jpg		no	13:40	13:45	820.000	825.000	5.000	Jugoslawien	Novi Pazar	Kloster Sopocani	4.5.86 (So) 9:45		
FkYwU_A1_7465.jpg		no	13:45	13:50	825.000	830.000	5.000	Jugoslawien	Novi Pazar	Kloster Sopocani	4.5.86 (So) 10:00		
FlAfK_A1_7466.jpg		no	13:50	13:55	830.000	835.000	5.000	Jugoslawien	Novi Pazar	Kloster Sopocani	4.5.86 (So) 10:15		
FlBoA_A1_7467.jpg		no	13:55	14:00	835.000	840.000	5.000	Jugoslawien	Novi Pazar	Kloster Sopocani	4.5.86 (So) 10:30		
FlCwQ_A1_7468.jpg		no	14:00	14:05	840.000	845.000	5.000	Jugoslawien	Novi Pazar	Kloster Sopocani	4.5.86 (So) 10:45		
FlEfG_A1_7469.jpg		no	14:05	14:10	845.000	850.000	5.000	Jugoslawien	Novi Pazar	Kloster Sopocani	4.5.86 (So) 11:00		
FlFnW_A1_7470.jpg		no	14:10	14:15	850.000	855.000	5.000	Jugoslawien	Novi Pazar	Kloster Sopocani	4.5.86 (So) 11:15		
FlGwM_A1_7471.jpg		no	14:15	14:20	855.000	860.000	5.000	Jugoslawien	Novi Pazar	Kloster Sopocani	4.5.86 (So) 11:30		
FlIfC_A1_7472.jpg		no	14:20	14:25	860.000	865.000	5.000	Jugoslawien	Novi Pazar	Kloster Sopocani	4.5.86 (So) 11:45		
FlJnS_A1_7473.jpg		no	14:25	14:30	865.000	870.000	5.000	Jugoslawien	Novi Pazar	Kloster Sopocani	4.5.86 (So) 12:00		
FlKwI_A1_7474.jpg		no	14:30	14:35	870.000	875.000	5.000	Jugoslawien	Novi Pazar	Kloster Sopocani	4.5.86 (So) 12:15		
FlMeY_A1_7475.jpg		no	14:35	14:40	875.000	880.000	5.000	Jugoslawien	Novi Pazar	Kloster Sopocani	4.5.86 (So) 12:30		
FlNnO_A1_7476.jpg		no	14:40	14:45	880.000	885.000	5.000	Jugoslawien	Novi Pazar	Kloster Sopocani	4.5.86 (So) 12:45		
FlOwE_A1_7477.jpg		no	14:45	14:50	885.000	890.000	5.000	Jugoslawien	Novi Pazar	Kloster Sopocani	4.5.86 (So) 13:00		
