###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
ByBfYeQ_A1_8602.jpg		no	0:00	0:05	0.000	5.000	5.000	Allianz, Wannsee und Hüßner Hamburg			1.7.88 (Fr) 8:00		
ByBfZbS_A1_8603.jpg		no	0:05	0:10	5.000	10.000	5.000	Allianz, Wannsee und Hüßner Hamburg			1.7.88 (Fr) 8:10		
ByBfZyU_A1_8604.jpg		no	0:10	0:15	10.000	15.000	5.000	Allianz, Wannsee und Hüßner Hamburg			1.7.88 (Fr) 8:20		
ByBgAvW_A1_8605.jpg		no	0:15	0:20	15.000	20.000	5.000	Allianz, Wannsee und Hüßner Hamburg			1.7.88 (Fr) 8:30		
ByBgBsY_A1_8606.jpg		no	0:20	0:25	20.000	25.000	5.000	Allianz, Wannsee und Hüßner Hamburg			1.7.88 (Fr) 8:40		
ByBgCqA_A1_8607.jpg		no	0:25	0:30	25.000	30.000	5.000	Allianz, Wannsee und Hüßner Hamburg			1.7.88 (Fr) 8:50		
ByBgDnC_A1_8608.jpg		no	0:30	0:35	30.000	35.000	5.000	Allianz, Wannsee und Hüßner Hamburg			1.7.88 (Fr) 9:00		
ByBgEkE_A1_8609.jpg		no	0:35	0:40	35.000	40.000	5.000	Allianz, Wannsee und Hüßner Hamburg			1.7.88 (Fr) 9:10		
ByBgFhG_A1_8610.jpg		no	0:40	0:45	40.000	45.000	5.000	Allianz, Wannsee und Hüßner Hamburg			1.7.88 (Fr) 9:20		
ByBgGeI_A1_8611.jpg		no	0:45	0:50	45.000	50.000	5.000	Allianz, Wannsee und Hüßner Hamburg			1.7.88 (Fr) 9:30		
ByBgHbK_A1_8612.jpg		no	0:50	0:55	50.000	55.000	5.000	Allianz, Wannsee und Hüßner Hamburg			1.7.88 (Fr) 9:40		
ByBgHyM_A1_0682.jpg		no	0:55	1:00	55.000	60.000	5.000	Allianz, Wannsee und Hüßner Hamburg			1.7.88 (Fr) 9:50		
ByBgIvO_A1_0685.jpg		no	1:00	1:05	60.000	65.000	5.000	Allianz, Wannsee und Hüßner Hamburg			1.7.88 (Fr) 10:00		
ByBgJsQ_A1_0688.jpg		no	1:05	1:10	65.000	70.000	5.000	Allianz, Wannsee und Hüßner Hamburg			1.7.88 (Fr) 10:10		
ByBgKpS_A1_0691.jpg		no	1:10	1:15	70.000	75.000	5.000	Allianz, Wannsee und Hüßner Hamburg			1.7.88 (Fr) 10:20		
ByBgLmU_A1_0694.jpg		no	1:15	1:20	75.000	80.000	5.000	Allianz, Wannsee und Hüßner Hamburg			1.7.88 (Fr) 10:30		
ByBgMjW_A1_0697.jpg		no	1:20	1:25	80.000	85.000	5.000	Allianz, Wannsee und Hüßner Hamburg			1.7.88 (Fr) 10:40		
ByBgNgY_A1_0700.jpg		no	1:25	1:30	85.000	90.000	5.000	Allianz, Wannsee und Hüßner Hamburg			1.7.88 (Fr) 10:50		
ByBgOeA_A1_8620.jpg		no	1:30	1:35	90.000	95.000	5.000	Allianz, Wannsee und Hüßner Hamburg			1.7.88 (Fr) 11:00		
ByBgPbC_A1_8621.jpg		no	1:35	1:40	95.000	100.000	5.000	Allianz, Wannsee und Hüßner Hamburg			1.7.88 (Fr) 11:10		
ByBgPyE_A1_8622.jpg		no	1:40	1:45	100.000	105.000	5.000	Allianz, Wannsee und Hüßner Hamburg			1.7.88 (Fr) 11:20		
ByBgQvG_A1_8623.jpg		no	1:45	1:50	105.000	110.000	5.000	Allianz, Wannsee und Hüßner Hamburg			1.7.88 (Fr) 11:30		
ByBgRsI_A1_8624.jpg		no	1:50	1:55	110.000	115.000	5.000	Allianz, Wannsee und Hüßner Hamburg			1.7.88 (Fr) 11:40		
