###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_XeVo_A1_1685.jpg		no	0:00	0:05	0.000	5.000	5.000	Südtirol, Vahrner See			30.1.95 (Mo) 8:30		
XcEi_A1_1683.jpg		no	0:05	0:10	5.000	10.000	5.000	Südtirol, Vahrner See			30.1.95 (Mo) 8:00		
XeVo_A1_1685.jpg		no	0:10	0:15	10.000	15.000	5.000	Südtirol, Vahrner See			30.1.95 (Mo) 8:30		
XhMu_A1_1705.jpg		no	0:15	0:20	15.000	20.000	5.000	Südtirol, Vahrner See			30.1.95 (Mo) 9:00		
XkEa_A1_1680.jpg		no	0:20	0:25	20.000	25.000	5.000	Südtirol, Vahrner See			30.1.95 (Mo) 9:30		
XmVg_A1_1689.jpg		no	0:25	0:30	25.000	30.000	5.000	Südtirol, Vahrner See			30.1.95 (Mo) 10:00		
XpMm_A1_1676.jpg		no	0:30	0:35	30.000	35.000	5.000	Südtirol, Vahrner See			30.1.95 (Mo) 10:30		
XsDs_A1_1692.jpg		no	0:35	0:40	35.000	40.000	5.000	Südtirol, Vahrner See			30.1.95 (Mo) 11:00		
XuUy_A1_1709.jpg		no	0:40	0:45	40.000	45.000	5.000	Südtirol, Vahrner See			30.1.95 (Mo) 11:30		
XxMe_A1_1700.jpg		no	0:45	0:50	45.000	50.000	5.000	Südtirol, Vahrner See			30.1.95 (Mo) 12:00		
YaDk_A1_1706.jpg		no	0:50	0:55	50.000	55.000	5.000	Südtirol, Vahrner See			30.1.95 (Mo) 12:30		
YcUq_A1_1697.jpg		no	0:55	1:00	55.000	60.000	5.000	Südtirol, Vahrner See			30.1.95 (Mo) 13:00		
YfLw_A1_1695.jpg		no	1:00	1:05	60.000	65.000	5.000	Südtirol, Vahrner See			30.1.95 (Mo) 13:30		
YiDc_Unbek_9341.jpg		no	1:05	1:10	65.000	70.000	5.000	Südtirol, Vahrner See			30.1.95 (Mo) 14:00		
YkUi_Unbek_9340.jpg		no	1:10	1:15	70.000	75.000	5.000	Südtirol, Vahrner See			30.1.95 (Mo) 14:30		
YnLo_A1_1712.jpg		no	1:15	1:20	75.000	80.000	5.000	Südtirol, Vahrner See			30.1.95 (Mo) 15:00		
YqCu_A1_1715.jpg		no	1:20	1:25	80.000	85.000	5.000	Südtirol, Vahrner See			30.1.95 (Mo) 15:30		
