###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_EzMm_A1_8483.jpg		no	0:00	0:05	0.000	5.000	5.000	Mitteldeutschland	Leipzig		1.10.98 (Do) 13:30		
DwEy_A1_8377.jpg		no	0:05	0:10	5.000	10.000	5.000	Mitteldeutschland	Bayreuth		1.10.98 (Do) 8:00		
DxCa_A1_8380.jpg		no	0:10	0:15	10.000	15.000	5.000	Mitteldeutschland	Bayreuth		1.10.98 (Do) 8:10		
DyWe_A1_8391.jpg		no	0:15	0:20	15.000	20.000	5.000	Mitteldeutschland			1.10.98 (Do) 8:30		
DzTg_A1_8396.jpg		no	0:20	0:25	20.000	25.000	5.000	Mitteldeutschland	Zittau		1.10.98 (Do) 8:40		
EaQi_A1_8399.jpg		no	0:25	0:30	25.000	30.000	5.000	Mitteldeutschland	Zittau		1.10.98 (Do) 8:50		
EbNk_A1_8402.jpg		no	0:30	0:35	30.000	35.000	5.000	Mitteldeutschland	Zittau		1.10.98 (Do) 9:00		
EcKm_A1_8405.jpg		no	0:35	0:40	35.000	40.000	5.000	Mitteldeutschland	Zittau		1.10.98 (Do) 9:10		
EdHo_A1_8408.jpg		no	0:40	0:45	40.000	45.000	5.000	Mitteldeutschland	Zittau		1.10.98 (Do) 9:20		
EeEq_A1_8411.jpg		no	0:45	0:50	45.000	50.000	5.000	Mitteldeutschland	Zittau		1.10.98 (Do) 9:30		
EfBs_A1_8414.jpg		no	0:50	0:55	50.000	55.000	5.000	Mitteldeutschland	St. Marienthal		1.10.98 (Do) 9:40		
EfYu_A1_8417.jpg		no	0:55	1:00	55.000	60.000	5.000	Mitteldeutschland	St. Marienthal		1.10.98 (Do) 9:50		
EgVw_A1_8420.jpg		no	1:00	1:05	60.000	65.000	5.000	Mitteldeutschland	Görlitz		1.10.98 (Do) 10:00		
EhSy_A1_8423.jpg		no	1:05	1:10	65.000	70.000	5.000	Mitteldeutschland	Görlitz		1.10.98 (Do) 10:10		
EiQa_A1_8426.jpg		no	1:10	1:15	70.000	75.000	5.000	Mitteldeutschland	Görlitz		1.10.98 (Do) 10:20		
EjNc_A1_8429.jpg		no	1:15	1:20	75.000	80.000	5.000	Mitteldeutschland	Görlitz		1.10.98 (Do) 10:30		
EkKe_A1_8432.jpg		no	1:20	1:25	80.000	85.000	5.000	Mitteldeutschland	Bautzen		1.10.98 (Do) 10:40		
ElHg_A1_8435.jpg		no	1:25	1:30	85.000	90.000	5.000	Mitteldeutschland	Bautzen		1.10.98 (Do) 10:50		
EmEi_A1_8438.jpg		no	1:30	1:35	90.000	95.000	5.000	Mitteldeutschland	Bautzen		1.10.98 (Do) 11:00		
EnBk_A1_8441.jpg		no	1:35	1:40	95.000	100.000	5.000	Mitteldeutschland	Bautzen		1.10.98 (Do) 11:10		
EnYm_A1_8444.jpg		no	1:40	1:45	100.000	105.000	5.000	Mitteldeutschland	Bautzen		1.10.98 (Do) 11:20		
EoVo_A1_8447.jpg		no	1:45	1:50	105.000	110.000	5.000	Mitteldeutschland	Strauplitz		1.10.98 (Do) 11:30		
EqPs_A1_8451.jpg		no	1:50	1:55	110.000	115.000	5.000	Mitteldeutschland	Leipzig		1.10.98 (Do) 11:50		
ErMu_A1_8456.jpg		no	1:55	2:00	115.000	120.000	5.000	Mitteldeutschland	Leipzig		1.10.98 (Do) 12:00		
EsJw_A1_8459.jpg		no	2:00	2:05	120.000	125.000	5.000	Mitteldeutschland	Leipzig		1.10.98 (Do) 12:10		
EtGy_A1_8462.jpg		no	2:05	2:10	125.000	130.000	5.000	Mitteldeutschland	Leipzig		1.10.98 (Do) 12:20		
EuEa_A1_8463.jpg		no	2:10	2:15	130.000	135.000	5.000	Mitteldeutschland	Leipzig		1.10.98 (Do) 12:30		
EvYe_A1_8469.jpg		no	2:15	2:20	135.000	140.000	5.000	Mitteldeutschland	Leipzig		1.10.98 (Do) 12:50		
EwVg_A1_8472.jpg		no	2:20	2:25	140.000	145.000	5.000	Mitteldeutschland	Leipzig		1.10.98 (Do) 13:00		
ExSi_A1_8475.jpg		no	2:25	2:30	145.000	150.000	5.000	Mitteldeutschland	Leipzig		1.10.98 (Do) 13:10		
EyPk_A1_8478.jpg		no	2:30	2:35	150.000	155.000	5.000	Mitteldeutschland	Leipzig		1.10.98 (Do) 13:20		
