###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_MtZc_A1_4992.jpg		no	0:00	0:05	0.000	5.000	5.000	Tour de Ruhr	Essen		1.10.99 (Fr) 9:10		
MnTo_A1_4970.jpg		no	0:05	0:10	5.000	10.000	5.000	Tour de Ruhr	Essen		1.10.99 (Fr) 8:00		
MpNs_A1_4978.jpg		no	0:10	0:15	10.000	15.000	5.000	Tour de Ruhr	Essen		1.10.99 (Fr) 8:20		
MqKu_A1_4979.jpg		no	0:15	0:20	15.000	20.000	5.000	Tour de Ruhr	Essen		1.10.99 (Fr) 8:30		
MsEy_A1_4985.jpg		no	0:20	0:25	20.000	25.000	5.000	Tour de Ruhr	Essen		1.10.99 (Fr) 8:50		
MtCa_A1_4990.jpg		no	0:25	0:30	25.000	30.000	5.000	Tour de Ruhr	Essen		1.10.99 (Fr) 9:00		
MtZc_A1_4992.jpg		no	0:30	0:35	30.000	35.000	5.000	Tour de Ruhr	Essen		1.10.99 (Fr) 9:10		
MuWe_A1_4996.jpg		no	0:35	0:40	35.000	40.000	5.000	Tour de Ruhr	Essen		1.10.99 (Fr) 9:20		
MwQi_A1_5005.jpg		no	0:40	0:45	40.000	45.000	5.000	Tour de Ruhr	Essen		1.10.99 (Fr) 9:40		
MyKm_A1_5011.jpg		no	0:45	0:50	45.000	50.000	5.000	Tour de Ruhr	Essen		1.10.99 (Fr) 10:00		
NaEq_A1_5017.jpg		no	0:50	0:55	50.000	55.000	5.000	Tour de Ruhr	Essen		1.10.99 (Fr) 10:20		
NbBs_A1_5020.jpg		no	0:55	1:00	55.000	60.000	5.000	Tour de Ruhr	Essen		1.10.99 (Fr) 10:30		
NbYu_A1_5023.jpg		no	1:00	1:05	60.000	65.000	5.000	Tour de Ruhr	Essen		1.10.99 (Fr) 10:40		
NcVw_A1_5026.jpg		no	1:05	1:10	65.000	70.000	5.000	Tour de Ruhr	Essen		1.10.99 (Fr) 10:50		
NdSy_A1_5027.jpg		no	1:10	1:15	70.000	75.000	5.000	Tour de Ruhr	Essen		1.10.99 (Fr) 11:00		
NeQa_A1_5032.jpg		no	1:15	1:20	75.000	80.000	5.000	Tour de Ruhr	Duisburg		1.10.99 (Fr) 11:10		
NfNc_A1_5033.jpg		no	1:20	1:25	80.000	85.000	5.000	Tour de Ruhr	Duisburg		1.10.99 (Fr) 11:20		
NgKe_A1_5036.jpg		no	1:25	1:30	85.000	90.000	5.000	Tour de Ruhr	Duisburg		1.10.99 (Fr) 11:30		
NhHg_A1_5041.jpg		no	1:30	1:35	90.000	95.000	5.000	Tour de Ruhr	Duisburg		1.10.99 (Fr) 11:40		
NiEi_A1_5044.jpg		no	1:35	1:40	95.000	100.000	5.000	Tour de Ruhr	Duisburg		1.10.99 (Fr) 11:50		
NjBk_A1_5062.jpg		no	1:40	1:45	100.000	105.000	5.000	Tour de Ruhr	Bottrop		1.10.99 (Fr) 12:00		
NjYm_A1_5057.jpg		no	1:45	1:50	105.000	110.000	5.000	Tour de Ruhr	Bottrop		1.10.99 (Fr) 12:10		
NkVo_A1_5053.jpg		no	1:50	1:55	110.000	115.000	5.000	Tour de Ruhr	Schwerte		1.10.99 (Fr) 12:20		
NlSq_A1_5045.jpg		no	1:55	2:00	115.000	120.000	5.000	Tour de Ruhr	Schwerte		1.10.99 (Fr) 12:30		
NnMu_A1_5065.jpg		no	2:00	2:05	120.000	125.000	5.000	Tour de Ruhr			1.10.99 (Fr) 12:50		
NoJw_A1_5068.jpg		no	2:05	2:10	125.000	130.000	5.000	Tour de Ruhr	Dortmund		1.10.99 (Fr) 13:00		
NpGy_A1_5071.jpg		no	2:10	2:15	130.000	135.000	5.000	Tour de Ruhr	Dortmund		1.10.99 (Fr) 13:10		
NrYe_A1_5078.jpg		no	2:15	2:20	135.000	140.000	5.000	Tour de Ruhr	Niederprüm		1.10.99 (Fr) 13:40		
NsVg_A1_5081.jpg		no	2:20	2:25	140.000	145.000	5.000	Tour de Ruhr	Niederprüm		1.10.99 (Fr) 13:50		
NtSi_A1_5086.jpg		no	2:25	2:30	145.000	150.000	5.000	Tour de Ruhr	Idstein		1.10.99 (Fr) 14:00		
NuPk_A1_5089.jpg		no	2:30	2:35	150.000	155.000	5.000	Tour de Ruhr	Idstein		1.10.99 (Fr) 14:10		
NvMm_A1_5090.jpg		no	2:35	2:40	155.000	160.000	5.000	Tour de Ruhr			1.10.99 (Fr) 14:20		
NwJo_A1_5093.jpg		no	2:40	2:45	160.000	165.000	5.000	Tour de Ruhr	Herbronn		1.10.99 (Fr) 14:30		
NxGq_A1_5098.jpg		no	2:45	2:50	165.000	170.000	5.000	Tour de Ruhr	Herbronn		1.10.99 (Fr) 14:40		
NyDs_A1_5099.jpg		no	2:50	2:55	170.000	175.000	5.000	Tour de Ruhr	Herbronn		1.10.99 (Fr) 14:50		
NzAu_A1_5104.jpg		no	2:55	3:00	175.000	180.000	5.000	Tour de Ruhr	Wetzlar		1.10.99 (Fr) 15:00		
NzXw_A1_5107.jpg		no	3:00	3:05	180.000	185.000	5.000	Tour de Ruhr	Wetzlar		1.10.99 (Fr) 15:10		
ObSa_A1_5113.jpg		no	3:05	3:10	185.000	190.000	5.000	Tour de Ruhr	Wetzlar		1.10.99 (Fr) 15:30		
OdMe_A1_5119.jpg		no	3:10	3:15	190.000	195.000	5.000	Tour de Ruhr	Wetzlar		1.10.99 (Fr) 15:50		
OeJg_A1_5122.jpg		no	3:15	3:20	195.000	200.000	5.000	Tour de Ruhr	Wetzlar		1.10.99 (Fr) 16:00		
OfGi_A1_5124.jpg		no	3:20	3:25	200.000	205.000	5.000	Tour de Ruhr	Aschaffenburg		1.10.99 (Fr) 16:10		
OgDk_A1_5128.jpg		no	3:25	3:30	205.000	210.000	5.000	Tour de Ruhr	Aschaffenburg		1.10.99 (Fr) 16:20		
OhAm_A1_5131.jpg		no	3:30	3:35	210.000	215.000	5.000	Tour de Ruhr	Aschaffenburg		1.10.99 (Fr) 16:30		
OhXo_A1_5132.jpg		no	3:35	3:40	215.000	220.000	5.000	Tour de Ruhr	Heilbronn		1.10.99 (Fr) 16:40		
OiUq_A1_5137.jpg		no	3:40	3:45	220.000	225.000	5.000	Tour de Ruhr	Heilbronn		1.10.99 (Fr) 16:50		
OkOu_A1_5143.jpg		no	3:45	3:50	225.000	230.000	5.000	Tour de Ruhr	Heilbronn		1.10.99 (Fr) 17:10		
OlLw_A1_5145.jpg		no	3:50	3:55	230.000	235.000	5.000	Tour de Ruhr	Heilbronn		1.10.99 (Fr) 17:20		
OpAe_Scrsh_9320.jpg		no	3:55	4:00	235.000	240.000	5.000	Tour de Ruhr			1.10.99 (Fr) 18:00		
OpXg_Scrsh_9330.jpg		no	4:00	4:05	240.000	245.000	5.000	Tour de Ruhr			1.10.99 (Fr) 18:10		
