###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_QhS_E50_9305.jpg		no	0:00	0:05	0.000	5.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 9:30		
ImQ_E50_3889.jpg		no	0:05	0:10	5.000	10.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:02		
IrG_E50_3895.jpg		no	0:10	0:15	10.000	15.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:04		
ItO_E50_3898.jpg		no	0:15	0:20	15.000	20.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:05		
IvW_E50_3901.jpg		no	0:20	0:25	20.000	25.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:06		
JaM_E50_3907.jpg		no	0:25	0:30	25.000	30.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:08		
JfC_E50_3911.jpg		no	0:30	0:35	30.000	35.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:10		
JhK_E50_3916.jpg		no	0:35	0:40	35.000	40.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:11		
JmA_E50_3922.jpg		no	0:40	0:45	40.000	45.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:13		
JoI_E50_3925.jpg		no	0:45	0:50	45.000	50.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:14		
JqQ_E50_3928.jpg		no	0:50	0:55	50.000	55.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:15		
JsY_E50_3931.jpg		no	0:55	1:00	55.000	60.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:16		
JvG_E50_3932.jpg		no	1:00	1:05	60.000	65.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:17		
JxO_E50_3935.jpg		no	1:05	1:10	65.000	70.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:18		
KcE_E50_3861.jpg		no	1:10	1:15	70.000	75.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:20		
KeM_E50_3862.jpg		no	1:15	1:20	75.000	80.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:21		
KgU_E50_3863.jpg		no	1:20	1:25	80.000	85.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:22		
KqA_E50_3867.jpg		no	1:25	1:30	85.000	90.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:26		
KuQ_E50_3943.jpg		no	1:30	1:35	90.000	95.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:28		
KwY_E50_3866.jpg		no	1:35	1:40	95.000	100.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:29		
LbO_E50_3976.jpg		no	1:40	1:45	100.000	105.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:31		
LdW_E50_3977.jpg		no	1:45	1:50	105.000	110.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:32		
LgE_E50_3980.jpg		no	1:50	1:55	110.000	115.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:33		
LiM_E50_3985.jpg		no	1:55	2:00	115.000	120.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:34		
LkU_E50_3986.jpg		no	2:00	2:05	120.000	125.000	5.000	Oder, Neiße und Ostsee			24.5.00 (Mi) 8:35		
