###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_PjK_E50_9464.jpg		no	0:00	0:05	0.000	5.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:32		
MnO_E50_9392.jpg		no	0:05	0:10	5.000	10.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:00		
MpW_E50_9395.jpg		no	0:10	0:15	10.000	15.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:01		
MsE_E50_9398.jpg		no	0:15	0:20	15.000	20.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:02		
NdS_E50_9414.jpg		no	0:20	0:25	20.000	25.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:07		
NiI_E50_9420.jpg		no	0:25	0:30	25.000	30.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:09		
NrO_E50_9404.jpg		no	0:30	0:35	30.000	35.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:13		
NyM_E50_9430.jpg		no	0:35	0:40	35.000	40.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:16		
OdC_E50_9433.jpg		no	0:40	0:45	40.000	45.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:18		
OkA_E50_9436.jpg		no	0:45	0:50	45.000	50.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:21		
OoQ_E50_9439.jpg		no	0:50	0:55	50.000	55.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:23		
OqY_E50_9442.jpg		no	0:55	1:00	55.000	60.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:24		
OtG_E50_9445.jpg		no	1:00	1:05	60.000	65.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:25		
OuK_E50_4075.jpg		no	1:05	1:10	65.000	70.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:25		
OxW_E50_9451.jpg		no	1:10	1:15	70.000	75.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:27		
PaE_E50_9454.jpg		no	1:15	1:20	75.000	80.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:28		
PcM_E50_9455.jpg		no	1:20	1:25	80.000	85.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:29		
PjK_E50_9464.jpg		no	1:25	1:30	85.000	90.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:32		
PlS_E50_9469.jpg		no	1:30	1:35	90.000	95.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:33		
PoA_E50_9472.jpg		no	1:35	1:40	95.000	100.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:34		
PqI_E50_9473.jpg		no	1:40	1:45	100.000	105.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:35		
PuY_E50_9481.jpg		no	1:45	1:50	105.000	110.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:37		
PxG_E50_9484.jpg		no	1:50	1:55	110.000	115.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:38		
PzO_E50_9487.jpg		no	1:55	2:00	115.000	120.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:39		
QbW_E50_9490.jpg		no	2:00	2:05	120.000	125.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:40		
QgM_E50_9491.jpg		no	2:05	2:10	125.000	130.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:42		
QlC_E50_9494.jpg		no	2:10	2:15	130.000	135.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:44		
QsA_Nikon_9500.jpg		no	2:15	2:20	135.000	140.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:47		
QuI_E50_9502.jpg		no	2:20	2:25	140.000	145.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:48		
QyY_E50_9505.jpg		no	2:25	2:30	145.000	150.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:50		
RdO_E50_9509.jpg		no	2:30	2:35	150.000	155.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:52		
RiE_E50_9513.jpg		no	2:35	2:40	155.000	160.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:54		
RkM_E50_9517.jpg		no	2:40	2:45	160.000	165.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:55		
RmU_E50_9520.jpg		no	2:45	2:50	165.000	170.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:56		
RpC_E50_9523.jpg		no	2:50	2:55	170.000	175.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:57		
RrK_E50_9526.jpg		no	2:55	3:00	175.000	180.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:58		
RtS_E50_9529.jpg		no	3:00	3:05	180.000	185.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 8:59		
RwA_E50_9532.jpg		no	3:05	3:10	185.000	190.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:00		
RyI_E50_9535.jpg		no	3:10	3:15	190.000	195.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:01		
SaQ_E50_9536.jpg		no	3:15	3:20	195.000	200.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:02		
ScY_E50_9540.jpg		no	3:20	3:25	200.000	205.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:03		
SfG_E50_9542.jpg		no	3:25	3:30	205.000	210.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:04		
ShO_E50_9546.jpg		no	3:30	3:35	210.000	215.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:05		
SjW_E50_9548.jpg		no	3:35	3:40	215.000	220.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:06		
SqU_Nikon_9552.jpg		no	3:40	3:45	220.000	225.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:09		
StC_E50_9554.jpg		no	3:45	3:50	225.000	230.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:10		
SvK_E50_9557.jpg		no	3:50	3:55	230.000	235.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:11		
SxS_E50_9562.jpg		no	3:55	4:00	235.000	240.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:12		
TaA_E50_9565.jpg		no	4:00	4:05	240.000	245.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:13		
TcI_Nikon_9566.jpg		no	4:05	4:10	245.000	250.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:14		
TeQ_E50_9568.jpg		no	4:10	4:15	250.000	255.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:15		
TjG_E50_9574.jpg		no	4:15	4:20	255.000	260.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:17		
TnW_E50_9578.jpg		no	4:20	4:25	260.000	265.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:19		
TqE_E50_9581.jpg		no	4:25	4:30	265.000	270.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:20		
TuU_E50_9589.jpg		no	4:30	4:35	270.000	275.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:22		
TxC_E50_9590.jpg		no	4:35	4:40	275.000	280.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:23		
TzK_E50_9593.jpg		no	4:40	4:45	280.000	285.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:24		
UbS_E50_9598.jpg		no	4:45	4:50	285.000	290.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:25		
UgI_E50_9604.jpg		no	4:50	4:55	290.000	295.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:27		
UkY_E50_9607.jpg		no	4:55	5:00	295.000	300.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:29		
UnG_E50_9610.jpg		no	5:00	5:05	300.000	305.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:30		
UrW_E50_9611.jpg		no	5:05	5:10	305.000	310.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:32		
UwM_E50_9616.jpg		no	5:10	5:15	310.000	315.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:34		
VbC_E50_9620.jpg		no	5:15	5:20	315.000	320.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:36		
VfS_E50_9626.jpg		no	5:20	5:25	320.000	325.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:38		
VkI_E50_9635.jpg		no	5:25	5:30	325.000	330.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:40		
VoY_E50_3025.jpg		no	5:30	5:35	330.000	335.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:42		
VrG_E50_3027.jpg		no	5:35	5:40	335.000	340.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:43		
VtO_E50_3029.jpg		no	5:40	5:45	340.000	345.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:44		
VyE_E50_3034.jpg		no	5:45	5:50	345.000	350.000	5.000	Loireschlösser Herbst			21.9.02 (Sa) 9:46		
