###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_IMG_6674.jpg		no	0:00	0:05	0.000	5.000	5.000	Gent, Normandie, Bretagne	Gent	Zentrum	27.10.11 (Do) 11:15		
IMG_6668.jpg		no	0:05	0:10	5.000	10.000	5.000	Am Teich	Conde-sur-l Escaut		27.10.11 (Do) 8:09		
IMG_6670.jpg		no	0:10	0:15	10.000	15.000	5.000	Gent, Normandie, Bretagne	Conde-sur-l Escaut		27.10.11 (Do) 8:10		
IMG_6671.jpg		no	0:15	0:20	15.000	20.000	5.000	Gent, Normandie, Bretagne	Conde-sur-l Escaut		27.10.11 (Do) 8:10		
IMG_6674.jpg		no	0:20	0:25	20.000	25.000	5.000	Gent, Normandie, Bretagne	Gent	Zentrum	27.10.11 (Do) 11:15		
IMG_6676.jpg		no	0:25	0:30	25.000	30.000	5.000	Gent, Normandie, Bretagne	Gent	Zentrum	27.10.11 (Do) 11:17		
IMG_6682.jpg		no	0:30	0:35	30.000	35.000	5.000	Gent, Normandie, Bretagne	Gent	Zentrum	27.10.11 (Do) 13:04		
IMG_6684.jpg		no	0:35	0:40	35.000	40.000	5.000	Gent, Normandie, Bretagne	Gent	Zentrum	27.10.11 (Do) 13:14		
IMG_6686.jpg		no	0:40	0:45	40.000	45.000	5.000	Gent, Normandie, Bretagne	Gent	Zentrum	27.10.11 (Do) 13:14		
IMG_6687.jpg		no	0:45	0:50	45.000	50.000	5.000	Gent, Normandie, Bretagne	Gent	Zentrum	27.10.11 (Do) 13:15		
IMG_6689.jpg		no	0:50	0:55	50.000	55.000	5.000	Gent, Normandie, Bretagne	Gent	Zentrum	27.10.11 (Do) 13:17		
IMG_6693.jpg		no	0:55	1:00	55.000	60.000	5.000	Gent, Normandie, Bretagne	Gent	Zentrum	27.10.11 (Do) 13:17		
IMG_6695.jpg		no	1:00	1:05	60.000	65.000	5.000	Gent, Normandie, Bretagne	Gent	Zentrum	27.10.11 (Do) 13:17		
IMG_6696.jpg		no	1:05	1:10	65.000	70.000	5.000	Gent, Normandie, Bretagne	Gent	Zentrum	27.10.11 (Do) 13:18		
IMG_6699.jpg		no	1:10	1:15	70.000	75.000	5.000	Gent, Normandie, Bretagne	Gent	Zentrum	27.10.11 (Do) 14:34		
IMG_6704.jpg		no	1:15	1:20	75.000	80.000	5.000	Gent, Normandie, Bretagne	Gent	Zentrum	27.10.11 (Do) 14:41		
IMG_6706.jpg		no	1:20	1:25	80.000	85.000	5.000	Gent, Normandie, Bretagne	Gent	Zentrum	27.10.11 (Do) 14:42		
IMG_6709.jpg		no	1:25	1:30	85.000	90.000	5.000	Gent, Normandie, Bretagne	Gent	Zentrum	27.10.11 (Do) 16:23		
IMG_6710.jpg		no	1:30	1:35	90.000	95.000	5.000	Gent, Normandie, Bretagne	Frelinghien	Houplines	28.10.11 (Fr) 10:29		
IMG_6717.jpg		no	1:35	1:40	95.000	100.000	5.000	Gent, Normandie, Bretagne	Veulettes-sur-Mer	Paluel	29.10.11 (Sa) 19:05		
IMG_6727.jpg		no	1:40	1:45	100.000	105.000	5.000	Gent, Normandie, Bretagne	Barfleur	Gatteville-le-Phare	31.10.11 (Mo) 19:33		
