###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_IMG_7374.jpg		no	0:00	0:05	0.000	5.000	5.000	Amsterdam, Bummel durch die Innenstadt	Amsterdam	Oude Turfmarkt	4.5.12 (Fr) 19:47		
IMG_7193.jpg		no	0:05	0:10	5.000	10.000	5.000	Spaziergang mit Jule an der jungen Mosel	Epinal	Rupt-sur-Moselle	29.4.12 (So) 9:29		
IMG_7197.jpg		no	0:10	0:15	10.000	15.000	5.000	Bummel durch Aachen	Aachen	Bergdriesch	30.4.12 (Mo) 8:44		
IMG_7201.jpg		no	0:15	0:20	15.000	20.000	5.000	Bummel durch Aachen	Aachen	Bergdriesch	30.4.12 (Mo) 8:46		
IMG_7203.jpg		no	0:20	0:25	20.000	25.000	5.000	Bummel durch Aachen	Aachen	Bergdriesch	30.4.12 (Mo) 8:46		
IMG_7214.jpg		no	0:25	0:30	25.000	30.000	5.000	Bummel durch Aachen	Aachen	Bergdriesch	30.4.12 (Mo) 10:28		
IMG_7217.jpg		no	0:30	0:35	30.000	35.000	5.000	Siesta am Kanal bei Ter Apel	Ter Apel	Ter Walslage	2.5.12 (Mi) 15:01		
IMG_7218.jpg		no	0:35	0:40	35.000	40.000	5.000	Siesta am Kanal bei Ter Apel	Ter Apel	Ter Walslage	2.5.12 (Mi) 15:02		
IMG_7221.jpg		no	0:40	0:45	40.000	45.000	5.000	Siesta am Kanal bei Ter Apel	Ter Apel	Ter Walslage	2.5.12 (Mi) 15:04		
IMG_7238.jpg		no	0:45	0:50	45.000	50.000	5.000	Schäfchen am Fischereimuseum Moddergat	Dongeradeel	Moddergat	2.5.12 (Mi) 19:16		
IMG_7251.jpg		no	0:50	0:55	50.000	55.000	5.000	Schäfchen am Fischereimuseum Moddergat	Dongeradeel	Moddergat	2.5.12 (Mi) 19:17		
IMG_7258.jpg		no	0:55	1:00	55.000	60.000	5.000	Schäfchen am Fischereimuseum Moddergat	Dongeradeel	Moddergat	2.5.12 (Mi) 19:18		
IMG_7278.jpg		no	1:00	1:05	60.000	65.000	5.000	Schäfchen am Fischereimuseum Moddergat	Dongeradeel	Moddergat	2.5.12 (Mi) 19:23		
IMG_7283.jpg		no	1:05	1:10	65.000	70.000	5.000	Schafe am Deich in der Nähe zur Fähre nach Ameland	Dongeradeel	Holwerd	3.5.12 (Do) 10:12		
IMG_7287.jpg		no	1:10	1:15	70.000	75.000	5.000	Schafe am Deich in der Nähe zur Fähre nach Ameland	Dongeradeel	Holwerd	3.5.12 (Do) 10:13		
IMG_7291.jpg		no	1:15	1:20	75.000	80.000	5.000	Amsterdam, im Rijksmuseum	Amsterdam	Oude Turfmarkt	4.5.12 (Fr) 10:24		
IMG_7295.jpg		no	1:20	1:25	80.000	85.000	5.000	Amsterdam, im Rijksmuseum	Amsterdam	Oude Turfmarkt	4.5.12 (Fr) 10:26		
