###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1.0
aaa_EqBqP_E400_1258.jpg		no	0:00	0:05	0.000	5.000	5.000	Meusdorfer Straße in Leipzig-Connewitz	Leipzig	Stötteritz	25.4.13 (Do) 19:53		
DuHiW_E400_1108.jpg		no	0:05	0:10	5.000	10.000	5.000	Dresden - Brühlsche Terrassen - Blick auf Hofkirche	Dresden	Zentrum	21.4.13 (So) 9:33		
DuHxV_E400_1109.jpg		no	0:10	0:15	10.000	15.000	5.000	Dresden - Brühlsche Terrassen - Blick auf Stadtschloss	Dresden	Zentrum	21.4.13 (So) 9:39		
DuHxZ_E400_1110.jpg		no	0:15	0:20	15.000	20.000	5.000	Dresden - Brühlsche Terrassen - Blick auf Hofkirche	Dresden	Zentrum	21.4.13 (So) 9:39		
DuHxZ_WebDl_0800.jpg		no	0:20	0:25	20.000	25.000	5.000	Semperoper Dresden	Dresden	Zentrum	21.4.13 (So) 9:39		
DuVfQ_E400_1111.jpg		no	0:25	0:30	25.000	30.000	5.000	Dresdner Zwinger	Dresden	Zentrum	21.4.13 (So) 12:09		
DuVfQ_WebDl_0801.jpg		no	0:30	0:35	30.000	35.000	5.000	Dresdner Zwinger	Dresden	Zentrum	21.4.13 (So) 12:09		
DuVfQ_WebDl_0802.jpg		no	0:35	0:40	35.000	40.000	5.000	Dresdner Zwinger	Dresden	Zentrum	21.4.13 (So) 12:09		
DuVfQ_WebDl_0803.jpg		no	0:40	0:45	40.000	45.000	5.000	Dresdner Zwinger: Galerie alte Meister	Dresden	Zentrum	21.4.13 (So) 12:09		
DuVfQ_WebDl_0804.jpg		no	0:45	0:50	45.000	50.000	5.000	Dresdner Zwinger: Galerie alte Meister	Dresden	Zentrum	21.4.13 (So) 12:09		
DuVfQ_WebDl_0805.jpg		no	0:50	0:55	50.000	55.000	5.000	Dresdner Zwinger: Galerie alte Meister	Dresden	Zentrum	21.4.13 (So) 12:09		
DvLnD_WebDl_0806.jpg		no	0:55	1:00	55.000	60.000	5.000	Dresdner Frauenkirche	Dresden	Zentrum	21.4.13 (So) 15:13		
DvLpG_E400_1116.jpg		no	1:00	1:05	60.000	65.000	5.000	Dresdner Frauenkirche	Dresden	Zentrum	21.4.13 (So) 15:14		
DvLqN_E400_1119.jpg		no	1:05	1:10	65.000	70.000	5.000	Dresdner Frauenkirche	Dresden	Zentrum	21.4.13 (So) 15:14		
DvLrH_E400_1122.jpg		no	1:10	1:15	70.000	75.000	5.000	Dresdner Frauenkirche	Dresden	Zentrum	21.4.13 (So) 15:15		
DvLuC_E400_1126.jpg		no	1:15	1:20	75.000	80.000	5.000	Dresdner Frauenkirche	Dresden	Zentrum	21.4.13 (So) 15:16		
DvLvG_E400_1128.jpg		no	1:20	1:25	80.000	85.000	5.000	Dresdner Frauenkirche	Dresden	Zentrum	21.4.13 (So) 15:16		
DvMgQ_E400_1129.jpg		no	1:25	1:30	85.000	90.000	5.000	Dresden - Blick an andere Ufer der Elbe zum Biergarten Am Narrenhäusl	Dresden	Zentrum	21.4.13 (So) 15:21		
DvMjE_E400_1132.jpg		no	1:30	1:35	90.000	95.000	5.000	Dresden – Fürstenzug	Dresden	Zentrum	21.4.13 (So) 15:22		
DzKcG_E400_1140.jpg		no	1:35	1:40	95.000	100.000	5.000	Rathaus Pirna	Pirna	Elbe	22.4.13 (Mo) 10:28		
DzLaJ_E400_1145.jpg		no	1:40	1:45	100.000	105.000	5.000	In den Gassen der Altstadt von Pirna	Pirna	Elbe	22.4.13 (Mo) 10:39		
DzLdC_E400_1146.jpg		no	1:45	1:50	105.000	110.000	5.000	In den Gassen der Altstadt von Pirna	Pirna	Elbe	22.4.13 (Mo) 10:40		
DzRnE_E400_1156.jpg		no	1:50	1:55	110.000	115.000	5.000	Mit der Fähre nach Copitz	Pirna	Elbe	22.4.13 (Mo) 11:52		
EaVcS_E400_1162.jpg		no	1:55	2:00	115.000	120.000	5.000	Restauriertes Anwesen in Tetschen	Tetschen	Zentrum	22.4.13 (Mo) 17:26		
EeJlS_E400_1163.jpg		no	2:00	2:05	120.000	125.000	5.000	Freiberger Dom	Freiberg	Zentrum	23.4.13 (Di) 10:46		
EeJnW_E400_1165.jpg		no	2:05	2:10	125.000	130.000	5.000	Am Freiberger Dom	Freiberg	Zentrum	23.4.13 (Di) 10:47		
EeLmO_E400_1170.jpg		no	2:10	2:15	130.000	135.000	5.000	Rathaus am Freiberger Obermarkt	Freiberg	Zentrum	23.4.13 (Di) 11:09		
EeRnC_E400_1176.jpg		no	2:15	2:20	135.000	140.000	5.000	Petrikirche in Freiberg	Freiberg	Zentrum	23.4.13 (Di) 12:17		
EeRsC_E400_1178.jpg		no	2:20	2:25	140.000	145.000	5.000	An der Petrikirche in Freiberg	Freiberg	Zentrum	23.4.13 (Di) 12:19		
EeRuA_E400_1181.jpg		no	2:25	2:30	145.000	150.000	5.000	Rathaus am Freiberger Obermarkt	Freiberg	Zentrum	23.4.13 (Di) 12:20		
